표준코드,ticker,한글 종목명,name,영문 종목명,start_date,시장구분,증권구분,소속부,주식종류,액면가,상장주식수,산업분류
KR7050090000,050090,비케이홀딩스,비케이홀딩스,BK Holdings,2004/06/29,KOSDAQ,주권,중견기업부,보통주,500,"79,138,942",IT H/W
KR7307870006,307870,비투엔,비투엔,B2En,2018/12/12,KOSDAQ,주권,벤처기업부,보통주,100,"31,181,200",IT S/W & SVC
KR7357880004,357880,비트나인,비트나인,"Bitnine Co, Ltd.",2021/11/10,KOSDAQ,주권,기술성장기업부,보통주,500,"10,353,956",IT S/W & SVC
KR7032850000,032850,비트컴퓨터,비트컴퓨터,BITComputer,1997/07/04,KOSDAQ,주권,벤처기업부,보통주,500,"16,623,293",IT S/W & SVC
KR7148780000,148780,비플라이소프트,비플라이소프트,"BFLYSOFT CO., LTD.",2022/06/20,KOSDAQ,주권,기술성장기업부,보통주,500,"31,445,725",출판·매체복제
KR7238200000,238200,비피도,비피도,BIFIDO. Co. Ltd,2018/12/26,KOSDAQ,주권,기술성장기업부,보통주,500,"8,180,000",음식료·담배
KR7093190007,093190,빅솔론,빅솔론,"BIXOLON Co., Ltd",2007/08/20,KOSDAQ,주권,우량기업부,보통주,500,"19,238,905",IT H/W
KR7065450009,065450,빅텍,빅텍,"VICTEK. Co., Ltd.",2003/02/05,KOSDAQ,주권,우량기업부,보통주,200,"28,652,800",의료·정밀기기
KR7210120002,210120,빅토리콘텐츠,빅텐츠,"Victory Contents Co.,Ltd.",2014/12/16,KONEX,주권,일반기업부,보통주,500,"2,653,000",#N/A
KR7005180005,005180,빙그레보통주,빙그레,Binggrae,1978/08/31,KOSPI,주권,,보통주,"5,000","9,851,241",음식료품
KR7072950009,072950,빛샘전자,빛샘전자,"VISSEM Electronics Co., Ltd.",2012/03/21,KOSDAQ,주권,벤처기업부,보통주,500,"6,230,859",IT H/W
KR7266170000,266170,뿌리깊은나무들,뿌리깊은나무들,Redwoods,2017/06/09,KONEX,주권,일반기업부,보통주,500,"5,823,036",#N/A
KR7143240000,143240,사람인에이치알,사람인에이치알,"SaraminHR Co., Ltd",2012/02/21,KOSDAQ,주권,우량기업부,보통주,500,"11,674,263",IT S/W & SVC
KR7003960002,003960,사조대림보통주,사조대림,SAJODAERIM,1976/09/16,KOSPI,주권,,보통주,"5,000","9,164,467",음식료품
KR7008040008,008040,사조동아원보통주,사조동아원,SAJODONGAONE,1989/06/24,KOSPI,주권,,보통주,500,"141,144,600",음식료품
KR7007160005,007160,사조산업보통주,사조산업,SajoIndustries,1989/07/25,KOSPI,주권,,보통주,"5,000","5,000,000","농업, 임업 및 어업"
KR7014710008,014710,사조씨푸드보통주,사조씨푸드,SAJOSEAFOOD,2012/06/29,KOSPI,주권,,보통주,"1,000","17,218,543",음식료품
KR7006090005,006090,사조오양보통주,사조오양,OYANG,1986/12/24,KOSPI,주권,,보통주,"5,000","9,422,739",음식료품
KR7419120001,419120,산돌,산돌,"Sandoll, Inc.",2022/10/27,KOSDAQ,주권,중견기업부,보통주,500,"7,671,826",IT S/W & SVC
KR7100090000,100090,삼강엠앤티,삼강엠앤티,"SAMKANG M&T Co., Ltd",2008/08/01,KOSDAQ,주권,중견기업부,보통주,500,"53,235,012",금속
KR7122350002,122350,삼기,삼기,SAMKEE CORP.,2010/03/19,KOSDAQ,주권,중견기업부,보통주,100,"38,339,428",운송장비·부품
KR7014970008,014970,삼륭물산,삼륭물산,Samryoong,1992/12/29,KOSDAQ,주권,중견기업부,보통주,500,"15,125,000",종이·목재
KR7018310003,018310,삼목에스폼,삼목에스폼,"SAMMOK S-FORM CO.,LTD.",1996/05/03,KOSDAQ,주권,우량기업부,보통주,500,"14,700,000",금속
