표준코드,ticker,한글종목명,name,start_date,기초지수명,지수산출기관,기초자산분류
KR7368190005,368190,NH-Amundi HANARO Fn K-뉴딜디지털플러스증권상장지수투자신탁[주식],HANARO Fn K-뉴딜디지털플러스,2020/11/10,FnGuide K-뉴딜 디지털 플러스 지수,FnGuide,주식
KR7402460000,402460,NH-Amundi HANARO Fn K-메타버스MZ증권상장지수투자신탁(주식),HANARO Fn K-메타버스MZ,2021/10/13,FnGuide K-메타버스 MZ 지수(시장가격),FnGuide,주식
KR7395270002,395270,NH-Amundi HANARO Fn K-반도체증권상장지수투자신탁(주식),HANARO Fn K-반도체,2021/07/30,FnGuide K-반도체 지수,FnGuide,주식
KR7438900003,438900,NH-Amundi HANARO Fn K-푸드증권상장지수투자신탁(주식),HANARO Fn K-푸드,2022/08/17,FnGuide K-푸드 지수 (시장가격),FnGuide,주식
KR7367740008,367740,NH-Amundi HANARO Fn5G산업증권상장지수투자신탁(주식),HANARO Fn5G산업,2020/10/29,FnGuide 5G 산업 지수,FnGuide,주식
KR7407300003,407300,NH-Amundi HANARO Fn골프테마 증권상장지수투자신탁(주식),HANARO Fn골프테마,2021/11/24,FnGuide 골프 테마 지수,FnGuide,주식
KR7381560002,381560,NH-Amundi HANARO Fn전기&수소차증권상장지수투자신탁(주식),HANARO Fn전기&수소차,2021/04/02,FnGuide 전기&수소차 지수 (시장가격),FnGuide,주식
KR7441540002,441540,NH-Amundi HANARO Fn조선해운증권상장지수투자신탁(주식),HANARO Fn조선해운,2022/09/15,FnGuide 조선해운지수,FnGuide,주식
KR7381570001,381570,NH-Amundi HANARO Fn친환경에너지증권상장지수투자신탁(주식),HANARO Fn친환경에너지,2021/04/02,FnGuide 친환경에너지 지수 (시장가격),FnGuide,주식
KR7346000003,346000,NH-Amundi HANARO KAP 초장기국고채증권상장지수투자신탁(채권-파생형),HANARO KAP초장기국고채,2020/01/16,KAP 초장기 국고채 지수(총수익),한국자산평가(KAP),채권
KR7304760002,304760,NH-Amundi HANARO KRX300증권상장지수투자신탁[주식],HANARO KRX300,2018/08/14,KRX 300,KRX,주식
KR7404470007,404470,NH-Amundi HANARO KRX기후변화솔루션증권상장지수투자신탁(주식),HANARO KRX기후변화솔루션,2021/10/29,KRX 기후변화 솔루션지수,KRX,주식
KR7332940006,332940,NH-Amundi HANARO MSCI Korea Total Return증권상장지수투자신탁(주식),HANARO MSCI Korea TR,2019/08/28,MSCI Korea TR Index,MSCI,주식
KR7322400003,322400,NH-Amundi HANARO e커머스증권상장지수투자신탁[주식],HANARO e커머스,2019/04/23,FnGuide E커머스 지수,FnGuide,주식
KR7322410002,322410,NH-Amundi HANARO 고배당증권상장지수투자신탁[주식],HANARO 고배당,2019/04/23,FnGuide 고배당 알파 지수,FnGuide,주식
KR7354350001,354350,NH-Amundi HANARO 글로벌럭셔리S&P 증권상장지수투자신탁(주식-파생형)(합성),HANARO 글로벌럭셔리S&P(합성),2020/05/12,S&P Global Luxury Index,S&P,주식
KR7432850006,432850,NH-Amundi HANARO 글로벌백신치료제MSCI증권상장지수투자신탁(주식-파생형),HANARO 글로벌백신치료제MSCI,2022/06/08,MSCI World IMI Virology Select Index,MSCI,주식
KR7448510008,448510,NH-Amundi HANARO 글로벌신재생에너지MSCI 증권상장지수투자신탁[주식-파생형](합성),HANARO 글로벌신재생에너지MSCI(합성),2022/11/30,MSCI ACWI IMI New Energy ESG Filtered (Price Return),MSCI,주식
KR7424460004,424460,NH-Amundi HANARO 글로벌워터MSCI 증권상장지수투자신탁[주식-파생형](합성),HANARO 글로벌워터MSCI(합성),2022/04/19,MSCI ACWI IMI Water ESG Filtered (Price Return),MSCI,주식
KR7401590005,401590,NH-Amundi HANARO 글로벌탄소배출권선물ICE특별자산ETF(탄소배출권-파생형)(합성),HANARO 글로벌탄소배출권선물ICE(합성),2021/09/30,ICE Global Carbon Futures Index(Excess Return),"ICE Data Indices, LLC",기타
KR7314700006,314700,NH-Amundi HANARO 농업융복합산업증권상장지수투자신탁(주식),HANARO 농업융복합산업,2018/12/21,FnGuide 농업융복합산업 지수(시장가격),FnGuide,주식
KR7390950004,390950,NH-Amundi HANARO 단기채권액티브증권상장지수투자신탁(채권),HANARO 단기채권액티브,2021/06/25,KAP 단기 통안채 지수(총수익),한국자산평가(KAP),채권
KR7432840007,432840,NH-Amundi HANARO 미국S&P500증권상장지수투자신탁(주식),HANARO 미국S&P500,2022/06/08,S&P 500,S&P,주식
KR7419170006,419170,NH-Amundi HANARO 미국메타버스iSelect 증권상장지수투자신탁(주식),HANARO 미국메타버스iSelect,2022/02/22,iSelect US 메타버스 지수(시장가격),NH투자증권,주식
KR7434730008,434730,NH-Amundi HANARO 원자력iSelect증권상장지수투자신탁(주식),HANARO 원자력iSelect,2022/06/28,iSelect 원자력지수 (시장가격),NH투자증권,주식
KR7306530007,306530,NH-Amundi HANARO 코스닥150선물레버리지증권상장지수투자신탁(주식-파생형),HANARO 코스닥150선물레버리지,2018/09/18,F-코스닥150 지수,KRX,주식
KR7304770001,304770,NH-Amundi HANARO 코스닥150증권상장지수투자신탁[주식],HANARO 코스닥150,2018/08/14,코스닥 150,KRX,주식
KR7375760006,375760,NH-Amundi HANARO 탄소효율그린뉴딜증권상장지수투자신탁[주식],HANARO 탄소효율그린뉴딜,2021/02/05,KRX/S&P 탄소효율 그린뉴딜지수,KRX,주식
KR7140950007,140950,교보악사 파워 K100 증권 상장지수투자신탁(주식),파워 코스피100,2011/05/03,코스피 100,KRX,주식
KR7152870002,152870,교보악사 파워 K200 증권 상장지수투자신탁(주식),파워 200,2012/02/13,코스피 200,KRX,주식
KR7192720001,192720,교보악사 파워 고배당저변동성 증권 상장지수투자신탁(주식),파워 고배당저변동성,2014/02/20,코스피 200 고배당지수,KRX,주식
KR7434960001,434960,대신 대신343 K200증권상장지수투자신탁[주식],대신343 K200,2022/06/28,코스피 200,KRX,주식
KR7403790009,403790,마이다스 마이다스 KoreaStock액티브증권상장지수투자신탁(주식),마이다스 KoreaStock액티브,2021/10/13,코스피,KRX,주식
